Risk ID,Category,Status,Tier,Risk Name,Description,Primary Mitigations,Secondary Mitigations
OP-MD4,Operational / AI Model Safety & Data,Expanded,High,Foundation Model Bias Inheritance and Unauditable Weights,Your agent is built on a model you didn't train and can't fully inspect. You inherit the bias without the ability to fully fix it.,"SE2 (Model Alignment), PL7 (Supply Chain Assessment)","OG8 (Testing/Auditing), SE1 (Explainable AI)"
OP-MD5,Operational / AI Model Safety & Data,Expanded,Critical,Adversarial Attacks (Prompt Injection Jailbreak Model Extraction),"Deliberate attacks on your agents: tricking them with crafted input, bypassing safety rules, extracting internal instructions.","PL5 (Red-Teaming), SE3 (Guardrails)","OG5 (Performance Monitoring), OG8 (Testing/Auditing)"
OP-MD6,Operational / AI Model Safety & Data,New,High,HITL Oversight Degradation and Automation Bias,"The human whose job is to catch agent mistakes becomes the weakest link. After approving 200 correct decisions in a row, they stop checking.",HI7 (HITL Monitoring),"HI1 (HITL), OG5 (Performance Monitoring), PL8 (AI Literacy Training)"
OP-MD7,Operational / AI Model Safety & Data,New,Critical,AI Misinformation at Scale (Unintentional),"Agents generating false or misleading information without anyone intending it. The output is plausible enough to be trusted. (AIRI Domain 3.1, 174 incidents)","SE3 (Guardrails), SE7 (Confabulation Detection)",HI1 (HITL)
OP-MD8,Operational / AI Model Safety & Data,New,High,AI Safety Alignment Failure,An agent supposed to do X is actually optimizing for Y – and you don't notice because the outputs still look reasonable. (AIRI Domain 7.1),"SE2 (Model Alignment), OG11 (Safety Decision Frameworks)",HI1 (HITL)
OP-MD9,Operational / AI Model Safety & Data,New,High,Unequal Agent Performance Across Populations,"Agents performing significantly worse for specific demographic groups without discriminatory intent. An effectiveness gap, not value-laden bias. (AIRI Domain 1.3, 33 incidents)","OG5 (Performance Monitoring), OG8 (Testing/Auditing)","SE1 (Explainable AI), SE2 (Model Alignment)"
OP-MD10,Operational / AI Model Safety & Data,Merged,Moderate,Data Quality and Retrieval Integrity,"The knowledge base your agent relies on becomes stale, contradictory, or quietly corrupted. Agents may introduce low-quality content back into the library.","PL2 (Measurable Attributes), SE4 (RAG Integrity)",OG4 (Data & Retrieval Monitoring)
OP-MD11,Operational / AI Model Safety & Data,Expanded,Moderate,Data Bias and Synthetic Feedback Loops,"When agents rely on a document library that systematically favours certain viewpoints, their answers inherit that bias. An agent's biased output today becomes tomorrow's training data.","SE2 (Model Alignment), OG4 (Data & Retrieval Monitoring)","PL9 (Societal Impact Assessment), OG8 (Testing/Auditing)"
OP-MD12,Operational / AI Model Safety & Data,Expanded,Moderate,Data Drift and AI Content Contamination,The world the agent was trained on no longer matches the world it's operating in. More of the internet is now AI-generated – like a photocopy of a photocopy.,"OG4 (Data & Retrieval Monitoring), OG5 (Performance Monitoring)",OG8 (Testing/Auditing)
OP-MD13,Operational / AI Model Safety & Data,Expanded,High,Data Privacy and Agent Information Leakage,Sensitive information escapes through your agents. Training data containing personal information gets memorized and can be extracted.,"OG9 (Access/Identity Mgmt), SE3 (Guardrails)","OG4 (Data & Retrieval Monitoring), PL1 (Contract Renegotiation)"
OP-MD14,Operational / AI Model Safety & Data,New,Moderate,Training Data Provenance Copyright and Intellectual Property,Foundation models trained on copyrighted material create legal exposure for downstream deployers. You can't trace what went into the training data.,"PL7 (Supply Chain Assessment), SE4 (RAG Integrity)","OG4 (Data & Retrieval Monitoring), OG3 (Agentic Governance)"
OP-PR1,Operational / Process & Workflow,Expanded,High,Control Flow Drifts and Emergent Agent Behaviours,"When business rules change, every agent must be updated. More dangerous: agents that improvise, finding paths never reviewed or tested.","PL6 (Agent Boundary Spec), OG5 (Performance Monitoring)","SE5 (Tool Access Control), HI3 (Runtime Intervention), OG6 (Staged Deployments)"
OP-PR2,Operational / Process & Workflow,Expanded,High,Difficult and Silent Error Detection,"The agent gets something wrong, but the wrong answer looks right. Errors cascade through multiple steps silently.","HI4 (Risk-Weighted Escalation), HI3 (Runtime Intervention)","OG5 (Performance Monitoring), OG7 (Incident Response), SE7 (Confabulation Detection), HI1 (HITL)"
OP-PR3,Operational / Process & Workflow,Expanded,Moderate,SLA and Performance Breaches,"Unlike traditional software, agent quality and speed vary with every request. A model update can suddenly double response times – and your SLA covers neither.","OG5 (Performance Monitoring), OG6 (Staged Deployments)","OG7 (Incident Response), HI3 (Runtime Intervention)"
OP-PR4,Operational / Process & Workflow,Merged,High,Time Lag Effects and Agent Velocity Amplification,"When a human makes a mistake, you have minutes. When an agent makes a mistake, it compounds into a catastrophe in seconds. No undo button.","PL6 (Agent Boundary Spec), OG5 (Performance Monitoring)","HI3 (Runtime Intervention), OG7 (Incident Response)"
OP-PJ1,Operational / Project & Investment,Expanded,Moderate,Low Agentic and Predictive Performance,Agent outputs may be less accurate than human judgment. Small per-step errors multiply into large end-to-end failures.,"PL4 (Risk Tiering), OG5 (Performance Monitoring)",OG6 (Staged Deployments)
OP-PJ2,Operational / Project & Investment,Expanded,Moderate,Low ROI,"Higher costs to build and maintain agent systems vs. traditional automation due to per-query processing costs, infrastructure overhead, and hidden oversight labour.","PL2 (Measurable Attributes), PL4 (Risk Tiering)","OG3 (Agentic Governance), OG5 (Performance Monitoring), OG12 (Cost Monitoring)"
OP-PJ3,Operational / Project & Investment,Expanded,Moderate,Unmeasurable ROI,"The value of replacing cognitive work is difficult to quantify. When agent and human contributions cannot be separated, investment justification becomes circular.","PL2 (Measurable Attributes), PL4 (Risk Tiering)",OG5 (Performance Monitoring)
OR-WF1,Organizational / Workforce & Human Impact,Survived,High,Loss of Job Security,Knowledge-based work automation via agents threatens a much larger group of employees than RPA alone. One agent-augmented worker replacing 5-10 traditional roles.,"PL3 (Employee Sentiment), PL8 (AI Literacy Training)",OG3 (Agentic Governance)
OR-WF2,Organizational / Workforce & Human Impact,Expanded,Moderate,Loss of Job Meaning and Professional Identity,"Agents taking over creative, judgment-based, and relational work core to employee identity. Meaning displacement leaves only mechanical oversight tasks.","PL3 (Employee Sentiment), PL8 (AI Literacy Training)",HI1 (HITL)
OR-WF3,Organizational / Workforce & Human Impact,Expanded,Moderate,Worker and Cognitive Deskilling,Decision-making is a skill that atrophies when you stop using it. New hires who have never done the work without an agent never develop domain instincts.,PL8 (AI Literacy Training),"OG3 (Agentic Governance), HI1 (HITL)"
OR-WF4,Organizational / Workforce & Human Impact,Expanded,Moderate,Cognitive Work Overload and Agent Oversight Fatigue,Removing simple cognitive work leaves only difficult tasks. Compounded by agent oversight fatigue where humans must monitor multiple agents simultaneously.,"HI1 (HITL), HI3 (Runtime Intervention)","HI4 (Risk-Weighted Escalation), PL8 (AI Literacy Training)"
OR-WF5,Organizational / Workforce & Human Impact,Expanded,Moderate,Mistrust in Management and Surveillance Spiral,"Top-down agent deployment without employee input erodes trust. Agent-based employee surveillance breeds mistrust, reducing cooperation, prompting more surveillance.","PL3 (Employee Sentiment), PL8 (AI Literacy Training)",OG3 (Agentic Governance)
OR-WF6,Organizational / Workforce & Human Impact,Expanded,Moderate,Mistrust in Agent Outputs and Confabulated Reasoning,Employees lack trust in agent predictions and reasoning traces – especially when explanations may themselves be confabulations.,"PL8 (AI Literacy Training), SE1 (Explainable AI)",HI6 (Intent Communication)
OR-WF7,Organizational / Workforce & Human Impact,Expanded,High,Prediction and Action Accountability Diffusion,Diffusion of accountability across agent chains makes it impossible to identify who is responsible. The 'I was just following the agent's advice' defense becomes pervasive.,"PL8 (AI Literacy Training), HI1 (HITL)","HI5 (Operator Override), HI7 (HITL Monitoring), OG3 (Agentic Governance)"
OR-WF8,Organizational / Workforce & Human Impact,Expanded,Moderate,Reduced Work Preparedness and Fallback Readiness Deficit,"When agents handle research, analysis, and synthesis, employees spend less time understanding their domain, leaving them unable to step in when agents fail.",PL8 (AI Literacy Training),"HI1 (HITL), HI3 (Runtime Intervention), OG6 (Staged Deployments)"
OR-WF9,Organizational / Workforce & Human Impact,Expanded,Moderate,Organizational Knowledge Extinction,Overall process knowledge reduces as agent-based decision chains replace entire business logic pathways. The organization becomes incapable of auditing its own operations.,"PL8 (AI Literacy Training), OG3 (Agentic Governance)","SE1 (Explainable AI), HI6 (Intent Communication), OG14 (Multi-Agent Auditing)"
OR-WF10,Organizational / Workforce & Human Impact,New,High,Overreliance on AI Agents and Loss of Human Agency,Systematic erosion of human judgment as organizations defer increasingly consequential decisions to agents. (AIRI Domain 5.1/5.2),"HI1 (HITL), HI5 (Operator Override), HI7 (HITL Monitoring)","PL8 (AI Literacy Training), OG3 (Agentic Governance)"
OR-WF11,Organizational / Workforce & Human Impact,New,High,Algorithmic Management and Worker Surveillance,"AI systems used to monitor, rate, schedule, and discipline workers without recourse. Algorithmic metrics may be gamed, inaccurate, or discriminatory. (AIRI Domain 6.2)","PL3 (Employee Sentiment), HI5 (Operator Override), OG3 (Agentic Governance)","PL8 (AI Literacy Training), HI7 (HITL Monitoring)"
OR-GV1,Organizational / Governance,Expanded,Critical,Regulatory Compliance Breach,"Each individual action your agent takes may be legal on its own. But when multiple agents chain actions together, the combined result can break the law.","PL1 (Contract Renegotiation), PL9 (Societal Impact Assessment)","OG3 (Agentic Governance), OG8 (Testing/Auditing), EX2 (Regulatory Engagement)"
OR-GV2,Organizational / Governance,New,High,Machine Identity Governance Failure,"Every agent needs its own identity. In a typical enterprise, 80 machine identities for every human identity. Keeping track of who has access to what is the governance problem no organization has solved.","PL4 (Risk Tiering), OG3 (Agentic Governance)","OG9 (Access/Identity Mgmt), SE5 (Tool Access Control)"
OR-GV3,Organizational / Governance,Expanded,High,Executive Disengagement from AI Governance,"Senior leadership treating agent implementation as purely technical rather than strategic, leading to under-resourcing and unclear accountability.","PL8 (AI Literacy Training), OG3 (Agentic Governance)",OG11 (Safety Decision Frameworks)
OR-GV4,Organizational / Governance,Expanded,High,Public Accountability Gap and Liability Diffusion,When something goes wrong and a member of the public is harmed – who is responsible? Your agent used a model from a vendor and data from a third party.,"PL4 (Risk Tiering), OG3 (Agentic Governance)",HI1 (HITL)
OR-GV5,Organizational / Governance,New,Moderate,Agent Liability and Insurance Framework Gap,"Standard insurance products (cyber, directors and officers liability, professional indemnity) may not cover agent-caused harms.","PL1 (Contract Renegotiation), OG3 (Agentic Governance)",PL9 (Societal Impact Assessment)
OR-GV6,Organizational / Governance,New,High,AI Governance and Regulatory Failure,Failure of organizational or governmental AI governance structures to keep pace with agentic deployment velocity. (AIRI Domain 6.5),"PL9 (Societal Impact Assessment), PL10 (Safety/Competition Balance), OG3 (Agentic Governance)",EX2 (Regulatory Engagement)
OR-GV7,Organizational / Governance,New,Moderate,Regulatory Capture and Governance Theater,Governance structures that exist on paper but do not function in practice. Self-regulation that is cosmetic rather than substantive. (AIRI Domain 6.5),"PL10 (Safety/Competition Balance), OG8 (Testing/Auditing)",OG3 (Agentic Governance)
OR-TP1,Organizational / Third-Party,Expanded,Moderate,Third-Party Model or Service Failure,"Commercial model services or agent platforms that become unavailable, degrade, or are discontinued. A single provider outage can affect thousands of downstream deployments.","PL1 (Contract Renegotiation), PL7 (Supply Chain Assessment)","OG5 (Performance Monitoring), OG10 (Model/Agent Deprecation)"
OR-TP2,Organizational / Third-Party,Expanded,Moderate,Third-Party Data and Knowledge Quality Issues,"Data and knowledge bases sourced from external parties containing errors, inconsistencies, or adversarial content that degrade agent accuracy.","PL7 (Supply Chain Assessment), OG5 (Performance Monitoring)","PL2 (Measurable Attributes), SE7 (Confabulation Detection)"
OR-TP3,Organizational / Third-Party,Expanded,Moderate,Vendor and Model Lock-in,"Over-reliance on a single vendor's proprietary platform, APIs, or model that makes migration costly or infeasible.","PL1 (Contract Renegotiation), PL7 (Supply Chain Assessment)","OG3 (Agentic Governance), OG10 (Model/Agent Deprecation)"
OR-TP4,Organizational / Third-Party,Expanded,Moderate,Third-Party Security and Privacy Breach,"Security vulnerabilities or data breaches through third-party agent tools, APIs, or model endpoints.","PL7 (Supply Chain Assessment), PL11 (Skill/Vetting Registry)","SE3 (Guardrails), SE5 (Tool Access Control), OG9 (Access/Identity Mgmt)"
OR-TP5,Organizational / Third-Party,Expanded,Moderate,Supply Chain Dependency Cascade,Cascading failures from dependencies on multiple third-party agent components. Failure in one vendor system disrupts the entire workflow chain.,PL7 (Supply Chain Assessment),OG7 (Incident Response)
OR-TP6,Organizational / Third-Party,Expanded,Moderate,Intellectual Property Infringement via Third Parties,"Unknowing use of foundation models trained on copyrighted or improperly licensed data, exposing the firm to IP litigation.","PL7 (Supply Chain Assessment), PL1 (Contract Renegotiation)",OG3 (Agentic Governance)
OR-TP7,Organizational / Third-Party,Merged,Moderate,Assignment of Liability in Agent Supply Chains,"When multiple organizations' agents interact, identifying which agent caused harm becomes intractable.","PL1 (Contract Renegotiation), PL2 (Measurable Attributes)",OG3 (Agentic Governance)
OR-ET1,Organizational / Enterprise Strategy,Expanded,High,Departmental Resistance and Shadow Agent Proliferation,Managers and teams resist agentic delegation due to fear of headcount reduction. Unauthorized shadow agents deployed without oversight. Directly feeds OP-AI9 Agent Sprawl.,"PL3 (Employee Sentiment), PL8 (AI Literacy Training)","OG3 (Agentic Governance), PL4 (Risk Tiering)"
OR-ET2,Organizational / Enterprise Strategy,Expanded,Moderate,Employee Turnover (AI-Skill-Premium Flight),Valuable employees with AI skills leave for higher pay elsewhere. Those who stay fear they can't compete – or burn out from cleaning up after agents.,"PL3 (Employee Sentiment), PL8 (AI Literacy Training)",OG3 (Agentic Governance)
OR-ET3,Organizational / Enterprise Strategy,Expanded,High,Financial Loss (Agent Velocity Amplified),"Agent-orchestrated financial damage through hallucination-induced contractual breach, unauthorized transactions, runaway spending. Agent velocity amplifies loss magnitude.","PL6 (Agent Boundary Spec), SE5 (Tool Access Control)","HI1 (HITL), HI3 (Runtime Intervention), OG7 (Incident Response)"
OR-ET4,Organizational / Enterprise Strategy,Expanded,Moderate,Information and Capability Asymmetry,"Agent-augmented workers operate at multiplicatively higher capacity than unaugmented peers, creating unmanageable performance disparities.","PL3 (Employee Sentiment), PL8 (AI Literacy Training)",OG3 (Agentic Governance)
OR-ET5,Organizational / Enterprise Strategy,Expanded,High,Loss of Control over Agent Operations,"Agents that don't stop when you tell them to. They create copies of themselves, schedule future actions autonomously – and you discover they've already set events in motion.","PL6 (Agent Boundary Spec), PL7 (Supply Chain Assessment)","SE5 (Tool Access Control), HI3 (Runtime Intervention), OG11 (Safety Decision Frameworks)"
OR-ET6,Organizational / Enterprise Strategy,Expanded,High,Competitive Dynamics and AI Race Pressure,"Public investment in AI agents triggering competitive arms race, pressuring firms to deploy without adequate safety testing. (AIRI Domain 6.4)","OG3 (Agentic Governance), PL10 (Safety/Competition Balance)",OG11 (Safety Decision Frameworks)
OR-ET7,Organizational / Enterprise Strategy,New,Moderate,Compensation and Team Design Under AI-Augmented Labor,How to set fair compensation when an AI-augmented worker produces 5x more output. How to structure teams when individual contribution becomes unmeasurable. (AIRI Domain 6.3),"PL3 (Employee Sentiment), PL8 (AI Literacy Training), OG3 (Agentic Governance)",PL9 (Societal Impact Assessment)
SY-EC1,Systemic / Ecosystem & Societal Harm,Redistributed,High,Ecosystem Homogenization and Systemic Concentration,Entire industries relying on the same 2 or 3 model providers or agent platforms. A single failure affects everyone at once.,"PL7 (Supply Chain Assessment), EX1 (Industry Consortium), EX4 (Scenario Planning)",OG3 (Agentic Governance)
SY-EC2,Systemic / Ecosystem & Societal Harm,Redistributed,Moderate,Environmental Impact of Agent Infrastructure,Aggregate environmental costs from agent compute infrastructure. (AIRI Domain 5/6.6),"PL9 (Societal Impact Assessment), PL10 (Safety/Competition Balance), EX3 (Public Disclosure)",
SY-EC3,Systemic / Ecosystem & Societal Harm,Expanded,Moderate,Societal and Ethical Harm,"The deploying firm's agents contribute to real costs that fall on communities, not on the firm's balance sheet. The harm is real. The cost is externalized.","PL9 (Societal Impact Assessment), EX1 (Industry Consortium), EX3 (Public Disclosure)",EX4 (Scenario Planning)
SY-EC4,Systemic / Ecosystem & Societal Harm,New,Moderate,AI-Driven Wealth and Power Concentration,"AI economic benefits accruing disproportionately to capital owners. Winner-take-most dynamics. (AIRI Domain 6.1, 54 entries)","PL9 (Societal Impact Assessment), EX4 (Scenario Planning)","EX2 (Regulatory Engagement), EX3 (Public Disclosure)"
SY-EC5,Systemic / Ecosystem & Societal Harm,New,Emerging,Digital Colonialism and Global AI Access Divide,"AI development concentrated in wealthy nations, imposing values on the Global South. (AIRI Domain 6.1)","PL9 (Societal Impact Assessment), EX1 (Industry Consortium)","EX2 (Regulatory Engagement), EX3 (Public Disclosure)"
SY-EC6,Systemic / Ecosystem & Societal Harm,New,Emerging,Algorithmic Governance of Populations,AI systems making decisions about people's lives without meaningful consent or recourse. (AIRI Domain 5.2),"PL9 (Societal Impact Assessment), EX2 (Regulatory Engagement)",EX3 (Public Disclosure)
SY-EC7,Systemic / Ecosystem & Societal Harm,New,High,Systemic Labor Market Restructuring,Aggregate effects of agent-driven automation on employment structures. (AIRI Domain 6.2/6.3),"PL9 (Societal Impact Assessment), EX4 (Scenario Planning)","EX1 (Industry Consortium), EX2 (Regulatory Engagement), EX3 (Public Disclosure)"
SY-EC8,Systemic / Ecosystem & Societal Harm,New,Emerging,Loss of Collective Human Agency,"More and more consequential decisions are made by systems that cannot be questioned, appealed, or negotiated with. (AIRI Domain 5.2)","PL9 (Societal Impact Assessment), EX4 (Scenario Planning)","EX1 (Industry Consortium), EX3 (Public Disclosure)"
SY-IE1,Systemic / Information Environment,Redistributed,Critical,AI-Generated Misinformation at Societal Scale,"Cumulative pollution of the information commons by millions of agents interacting simultaneously. (AIRI Domain 3.1, 174 incidents)","PL9 (Societal Impact Assessment), SE3 (Guardrails), SE7 (Confabulation Detection), EX3 (Public Disclosure)","OG3 (Agentic Governance), OG5 (Performance Monitoring), EX1 (Industry Consortium)"
SY-IE2,Systemic / Information Environment,Redistributed,Critical,Malicious AI-Enabled Disinformation and Democratic Manipulation,"Deliberate use of AI agents by bad actors to generate and distribute false information at scale. (AIRI Domain 4.1, 126 incidents)","PL9 (Societal Impact Assessment), EX4 (Scenario Planning)","EX1 (Industry Consortium), EX3 (Public Disclosure), SE3 (Guardrails)"
SY-IE3,Systemic / Information Environment,New,High,Algorithmic Curation Drift and Fractured Reality,Not about whether content is true or false – it's about the systems that decide what people see. (AIRI Domain 3.2),"EX1 (Industry Consortium), EX3 (Public Disclosure), EX4 (Scenario Planning)",PL9 (Societal Impact Assessment)
SY-IE4,Systemic / Information Environment,New,High,General Toxic Agent Outputs Polluting the Information Commons,"Agents autonomously generating harmful content during normal operation. Diffuse pollution of the information commons. (AIRI Domain 1.2, 87 incidents)","PL9 (Societal Impact Assessment), SE3 (Guardrails), EX3 (Public Disclosure)","OG5 (Performance Monitoring), EX1 (Industry Consortium)"
SY-CP1,Systemic / Capability & Power,Redistributed,High,AI Safety Alignment Failure at Scale,When agent misalignment happens across the entire ecosystem. A misaligned model used by thousands affects millions. (AIRI Domain 7.1),"PL9 (Societal Impact Assessment), SE2 (Model Alignment), OG11 (Safety Decision Frameworks), EX4 (Scenario Planning)","EX1 (Industry Consortium), EX2 (Regulatory Engagement)"
SY-CP2,Systemic / Capability & Power,New,Critical,Dangerous Dual-Use Capability Proliferation,"AI capabilities developed legitimately repurposed for societal harm. The capability frontier advances faster than containment. (AIRI Domain 7.2, 77 entries)","PL10 (Safety/Competition Balance), EX4 (Scenario Planning), EX5 (Dual-Use Monitoring)","EX1 (Industry Consortium), EX2 (Regulatory Engagement)"
SY-CP3,Systemic / Capability & Power,New,Critical,Agent-Enabled Fraud Targeting the Public at Scale,"Deepfake romance scams, investment fraud, voice cloning at population scale. AIRI's highest-incident subdomain. (AIRI Domain 4.3, 353 incidents)","PL9 (Societal Impact Assessment), SE3 (Guardrails), EX1 (Industry Consortium)",
SY-CP4,Systemic / Capability & Power,New,High,AI-Enabled Political Manipulation of Democratic Processes,"Synthetic political content, manufactured consensus, targeted persuasion at electoral scale. (AIRI Domain 4.1)","PL9 (Societal Impact Assessment), SE3 (Guardrails), EX4 (Scenario Planning)",EX1 (Industry Consortium)
SY-CP5,Systemic / Capability & Power,New,Moderate,Economic Devaluation of Creative and Cognitive Human Labor,"AI-generated art, music, writing, code, and analysis systematically devaluing human creative output at market scale. (AIRI Domain 6.3)","PL9 (Societal Impact Assessment), EX2 (Regulatory Engagement)",EX4 (Scenario Planning)
SY-CP6,Systemic / Capability & Power,New,Critical,Unfair Discrimination and Allocative Harm at Population Scale,"The same groups face worse outcomes across every system simultaneously. The harm is not in any single decision – it's in the pattern. (AIRI Domain 1.1, 117 incidents)","PL9 (Societal Impact Assessment), SE2 (Model Alignment), OG8 (Testing/Auditing)","EX1 (Industry Consortium), EX2 (Regulatory Engagement)"
SY-CP7,Systemic / Capability & Power,New,Emerging,Toxic and Abusive Agent Outputs Affecting Vulnerable Populations,Agents generating content targeting specific groups with harmful material. Existing moderation systematically fails to protect vulnerable populations. (AIRI Domain 1.2),"PL9 (Societal Impact Assessment), SE3 (Guardrails), EX1 (Industry Consortium)",
